gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,InternetService,Contract,MonthlyCharges,Churn
Male,0,No,22,Yes,No,DSL,One year,56,No
Male,0,No,2,Yes,No,DSL,Two year,91,No
Female,0,Yes,72,Yes,Yes,Fiber optic,Month-to-month,79,No
Male,1,No,58,No,No,Fiber optic,Month-to-month,45,Yes
Male,0,Yes,69,Yes,No,Fiber optic,Month-to-month,79,No
Male,0,No,18,Yes,No,DSL,Month-to-month,70,No
Female,0,Yes,55,Yes,Yes,Fiber optic,Month-to-month,20,No
Female,0,No,46,Yes,No,DSL,Two year,101,No
Male,0,No,5,Yes,No,DSL,One year,19,No
Female,0,No,4,No,Yes,Fiber optic,One year,34,Yes
Male,1,No,5,Yes,Yes,Fiber optic,Month-to-month,90,Yes
Female,0,Yes,65,Yes,Yes,Fiber optic,Month-to-month,61,No
Male,0,No,35,Yes,Yes,DSL,One year,21,No
Female,1,No,45,Yes,Yes,Fiber optic,Two year,97,No
Female,0,No,2,Yes,Yes,DSL,Two year,20,No
Female,0,Yes,22,Yes,No,Fiber optic,Month-to-month,80,No
Male,0,Yes,70,Yes,Yes,Fiber optic,Month-to-month,69,No
Female,0,Yes,30,Yes,No,DSL,Month-to-month,66,No
Male,0,No,61,Yes,Yes,DSL,Two year,108,No
Female,0,No,29,Yes,Yes,DSL,Month-to-month,20,No
Male,0,No,61,Yes,No,DSL,One year,106,Yes
Male,0,Yes,25,Yes,No,DSL,One year,90,Yes
Male,0,No,71,Yes,Yes,Fiber optic,Month-to-month,113,No
Female,0,No,1,No,No,Fiber optic,Month-to-month,35,No
Female,0,Yes,62,Yes,No,DSL,Two year,70,No
Male,0,No,64,Yes,No,DSL,Month-to-month,74,No
Female,0,Yes,64,Yes,No,Fiber optic,One year,91,No
Male,1,No,29,Yes,Yes,DSL,Two year,84,No
Female,0,No,2,Yes,No,DSL,One year,71,Yes
Male,0,No,1,Yes,No,Fiber optic,Month-to-month,20,No
Male,0,No,1,Yes,Yes,Fiber optic,Month-to-month,51,Yes
Female,0,Yes,45,Yes,No,DSL,Month-to-month,25,No
Male,0,No,66,Yes,No,Fiber optic,Month-to-month,114,No
Female,0,No,54,Yes,Yes,DSL,Month-to-month,107,Yes
Female,0,Yes,70,Yes,Yes,Fiber optic,Two year,80,No
Male,1,No,37,Yes,No,DSL,Month-to-month,92,Yes
Male,1,No,3,Yes,Yes,Fiber optic,One year,80,Yes
Male,0,Yes,23,Yes,No,DSL,Month-to-month,55,No
Female,1,No,60,Yes,No,Fiber optic,Two year,100,No
Female,0,No,35,No,No,DSL,One year,33,No
Female,0,Yes,27,Yes,No,DSL,Two year,74,No
Female,0,Yes,24,No,No,Fiber optic,Month-to-month,52,No
Female,1,No,2,Yes,No,Fiber optic,Month-to-month,94,Yes
Male,0,No,67,Yes,No,DSL,Month-to-month,91,Yes
Male,0,No,2,Yes,No,DSL,Month-to-month,48,Yes
Female,0,No,1,Yes,Yes,Fiber optic,One year,20,Yes
Female,0,Yes,1,Yes,Yes,Fiber optic,Two year,79,Yes
Female,0,No,14,Yes,No,DSL,One year,54,No
Male,1,No,38,Yes,Yes,Fiber optic,Month-to-month,95,No
Female,0,No,1,Yes,No,DSL,Two year,70,Yes
Female,0,No,2,Yes,Yes,Fiber optic,One year,70,No
Female,0,No,12,Yes,No,Fiber optic,Month-to-month,79,Yes
Male,0,Yes,31,Yes,Yes,DSL,One year,98,No
Male,0,Yes,35,Yes,No,DSL,Month-to-month,72,No
Male,1,No,72,Yes,Yes,Fiber optic,Month-to-month,110,No
Female,0,Yes,8,Yes,Yes,DSL,Two year,94,Yes
Male,0,No,10,Yes,Yes,Fiber optic,One year,98,Yes
Female,1,No,5,Yes,No,Fiber optic,One year,69,Yes
Male,0,Yes,63,Yes,No,DSL,Month-to-month,84,No
Female,0,No,71,Yes,No,DSL,Two year,26,No
Female,1,No,46,Yes,Yes,Fiber optic,Month-to-month,104,No
Female,0,Yes,52,Yes,Yes,Fiber optic,Two year,23,No
Male,0,No,1,Yes,No,DSL,Month-to-month,46,Yes
Male,0,No,1,Yes,Yes,Fiber optic,Month-to-month,80,Yes
Female,0,No,72,Yes,No,DSL,One year,113,No
Female,0,No,3,Yes,Yes,Fiber optic,Month-to-month,84,Yes
Male,0,No,28,Yes,No,DSL,Month-to-month,61,No
Female,0,Yes,39,Yes,Yes,Fiber optic,Month-to-month,51,No
Female,0,No,33,Yes,Yes,DSL,Month-to-month,26,No
Female,0,No,12,No,No,DSL,Month-to-month,61,No
Male,0,Yes,1,Yes,No,DSL,Month-to-month,74,Yes
Male,0,No,6,Yes,Yes,Fiber optic,Month-to-month,79,No
Male,0,No,3,Yes,Yes,DSL,Two year,86,No
Male,0,No,4,Yes,Yes,Fiber optic,Month-to-month,88,Yes
Male,0,Yes,34,Yes,No,Fiber optic,Month-to-month,90,No
Male,0,No,1,Yes,No,DSL,Month-to-month,20,No
Female,1,No,15,Yes,No,DSL,One year,96,Yes
Male,0,Yes,1,No,No,DSL,One year,25,Yes
Female,0,No,3,Yes,No,DSL,One year,51,Yes
Male,0,No,1,Yes,Yes,Fiber optic,Month-to-month,20,Yes
Female,0,No,3,Yes,No,DSL,One year,20,No
Female,0,Yes,30,Yes,No,DSL,Two year,81,No
Female,0,No,5,Yes,No,DSL,Two year,54,Yes
Male,1,No,68,Yes,Yes,Fiber optic,One year,20,No
Female,0,No,1,Yes,No,Fiber optic,Month-to-month,20,No
Female,0,No,5,Yes,No,DSL,Month-to-month,80,Yes
Female,0,No,1,Yes,No,DSL,Month-to-month,71,Yes
Male,0,Yes,13,Yes,Yes,Fiber optic,Month-to-month,20,No
Female,0,No,35,Yes,Yes,DSL,One year,80,No
Male,0,Yes,4,Yes,Yes,Fiber optic,Month-to-month,70,No
Male,0,No,9,No,Yes,Fiber optic,Month-to-month,25,No
Female,1,No,45,Yes,No,Fiber optic,Month-to-month,86,No
Female,0,No,21,No,No,Fiber optic,Month-to-month,28,No
Female,0,No,26,Yes,Yes,Fiber optic,Two year,89,Yes
Female,0,No,1,Yes,Yes,DSL,Two year,85,Yes
Female,1,No,2,Yes,No,Fiber optic,Month-to-month,89,Yes
Female,0,No,11,Yes,No,Fiber optic,Month-to-month,70,No
Female,0,No,59,Yes,Yes,DSL,Month-to-month,109,No
Female,0,No,31,Yes,No,Fiber optic,Month-to-month,84,No
Female,0,Yes,54,Yes,Yes,Fiber optic,One year,25,No
Female,0,Yes,16,Yes,Yes,DSL,One year,19,No
Male,1,No,9,Yes,No,DSL,Month-to-month,55,Yes
Female,0,No,21,Yes,Yes,DSL,Month-to-month,97,Yes
Male,0,No,1,Yes,Yes,Fiber optic,One year,21,No
Female,0,No,23,Yes,Yes,Fiber optic,Month-to-month,54,No
Male,1,No,7,Yes,Yes,Fiber optic,Month-to-month,74,Yes
Male,0,No,21,Yes,Yes,DSL,One year,104,No
Female,0,No,65,Yes,No,DSL,Month-to-month,108,No
Male,0,No,4,No,No,DSL,Two year,45,Yes
Male,0,Yes,72,Yes,No,DSL,Month-to-month,112,No
Male,1,No,68,No,No,DSL,Month-to-month,42,No
Female,0,Yes,67,Yes,No,DSL,Two year,85,No
Male,0,No,1,Yes,No,DSL,Month-to-month,79,Yes
Female,0,No,69,Yes,No,DSL,One year,96,No
Male,0,No,60,Yes,Yes,Fiber optic,Two year,90,No
Male,0,No,3,Yes,Yes,Fiber optic,Month-to-month,88,Yes
